asOfDate,symbol,Sector,DilutedEPS,ROA,ROE,P/B Ratio,P/S Ratio,Net Profit Margin,Gross Profit Margin,Operating Margin,LTDTA Ratio,Quick Ratio,Cash Ratio,Enterprise Multiple,Operating Cash Flow Ratio,PE_Ratio,DE_Ratio,log re,price
2019-06-30,ITE.JO,Consumer Cyclical,1.02,16.875420875420875,22.347066167290887,2.6522886791694766,2.2275422340609032,17.964157706093193,37.47670250896057,18.236559139784948,0.0673400673400673,3.254658385093168,1.8649068322981368,12.18176536394158,23.05208765960652,14.068627450980392,0.2674974393991123,7.118635860557252,1234.764892578125
2019-09-30,ITE.JO,Consumer Cyclical,0.9942650317583376,16.351883011071777,22.016920508731936,2.710815777432131,2.259298007756682,17.562795996000226,37.4754856032703,17.944011516682608,0.0758248078796268,3.202808432217191,1.8705205112417145,12.902980814747002,30.579313119226327,14.561504417580675,0.2893008801459137,7.133828226827805,1253.6671142578125
2019-12-31,ITE.JO,Consumer Cyclical,0.9452997944933664,15.52378870390537,21.187541848850515,2.811368265688776,2.3392473939561222,16.830944709890595,37.57048372179327,17.492086023502253,0.0786163610525484,3.007793788745971,1.7439194187492,14.14034455828599,40.84914101844831,15.454103801943209,0.3048792377628304,6.976622149692783,1071.2935791015625
2020-03-31,ITE.JO,Consumer Cyclical,0.874013901132672,14.405086581892675,19.87605535002741,2.952170468130835,2.465738459146748,15.781927646798366,37.75910123684358,16.88828403105063,0.0757768712788468,2.674059928705524,1.4886275188543563,15.872022018157738,53.70538846476612,16.73022983660536,0.3141643104575187,7.03913491365501,1140.400634765625
2020-06-30,ITE.JO,Consumer Cyclical,0.78,12.988412826731338,18.07612975810988,3.134089430324814,2.6393811435650223,14.409566517189836,38.04185351270553,16.128550074738413,0.0673672864457019,2.2002567394094994,1.10397946084724,18.10868813730721,69.24494059,18.39743589743589,0.3173588924387646,7.128100876703542,1246.5074462890625
2017-12-31,JBL.JO,Basic Materials,-0.0059134449240007,7.101516869285546,9.00887840204268,10.847558174731962,54.10718382971018,47.553101345310026,29.017532019123784,4.337287363785455,0.0085655460707749,1.8556407473330847,1.129868659323538,-420.4463608412796,-10.380334000317111,-1277.3260987815672,0.1840966242608153,3.784189633918261,44.0
2018-03-31,JBL.JO,Basic Materials,-0.0037943156314505,4.592096093515801,5.733621074208074,10.781967438225369,49.19014893654188,28.039285400452613,33.96015309561367,2.282753560123334,0.0139206989143037,2.2051320232466654,1.3662939289469442,-540.6987614806128,406.9557069844751,-1477.599340774779,0.1774447225209252,3.784189633918261,44.0
2018-06-30,JBL.JO,Basic Materials,-0.0018,3.0455244272398487,3.74687848421722,11.147380704854374,46.359201662575295,14.956055761479712,38.666014593150685,2.2444978644945968,0.0233597646802102,2.5619003650766943,1.6156196979248805,-555.9944421095346,680.6999934577673,-1477.7777777777776,0.1808422221499656,3.871201010907891,48.0
2018-09-30,JBL.JO,Basic Materials,6.458397447926464e-05,2.494643800708228,3.092570184089921,11.958109558787935,45.6853051461608,8.523768444404018,43.12544764131779,4.29011495959783,0.0370161492654262,2.926058275459108,1.878186525989311,-462.80988258013474,805.9388628239716,-1271.1546673628975,0.1946247025309727,3.912023005428146,50.0
2018-12-31,JBL.JO,Basic Materials,0.0017766920623006,2.9619833120541,3.799928874056521,13.212549945344309,47.21152585684427,8.923324788615648,47.28511028944909,8.431414817927621,0.0548086053218244,3.2937041796531115,2.1513119532161937,-260.3832917983081,778.8361929628797,-856.5979748683005,0.2188113730146153,3.828641396489095,46.0
